campaign_id,brand_name,product_category,platform,country,target_segment,start_date,end_date,ad_text,primary_call_to_action,image_path,impressions,clicks,conversions,reach,spend,revenue,currency,ctr,conversion_rate,engagement_rate,roi,is_viral
C0011,Brand_7,luxury,tiktok,EU,Students,2023-05-27,2023-06-19,Discover premium luxury curated for Students. Click to explore.,Learn more,images/c0011.jpg,51330,631,14,41986,269.14,5600,USD,0.012293006039353205,0.022187004754358162,0.012565751022793687,19.807014936464295,0
C0012,Brand_18,grocery,youtube,EU,HNI / Affluent,2024-03-14,2024-04-27,Upgrade your grocery game with exclusive deals for EU.,Sign up,images/c0012.jpg,70749,642,35,44960,811.04,1050,USD,0.009074333206123055,0.05451713395638629,0.00956903984508615,0.29463405010850274,0
C0013,Brand_8,beauty,google_ads,AE,Gen Z - Urban,2023-02-18,2023-03-04,Discover premium beauty curated for Gen Z - Urban. Click to explore.,Learn more,images/c0013.jpg,121762,2413,50,80379,729.38,2000,USD,0.01981734859808479,0.020721094073767096,0.02022798574267834,1.7420548959390165,1
C0014,Brand_14,grocery,instagram,AE,Students,2024-09-02,2024-10-08,Top-rated grocery loved by customers like you. Check it out.,Sign up,images/c0014.jpg,144907,2381,82,106609,1022.19,2460,USD,0.016431228305050824,0.034439311213775727,0.016997108490273072,1.406597599272151,0
C0015,Brand_18,fashion,instagram,EU,HNI / Affluent,2023-10-01,2023-10-29,Limited time offer on our fashion collection. Shop now and save big!,Sign up,images/c0015.jpg,32492,502,16,24373,247.69,800,USD,0.015449956912470761,0.03187250996015936,0.01594238581804752,2.2298437563082882,0
C0016,Brand_14,beauty,tiktok,IN,Families,2024-05-27,2024-06-14,Top-rated beauty loved by customers like you. Check it out.,Shop now,images/c0016.jpg,103569,1335,42,82530,505.58,1680,USD,0.01288995741969122,0.03146067415730337,0.01329548416997364,2.322916254598679,0
C0017,Brand_10,grocery,google_ads,SG,Millennial Professionals,2024-01-18,2024-02-04,Top-rated grocery loved by customers like you. Check it out.,Shop now,images/c0017.jpg,41432,871,31,18001,544.49,930,USD,0.0210223981463603,0.03559127439724455,0.021770612087275536,0.7080203493177101,1
C0018,Brand_20,electronics,tiktok,IN,Gen Z - Urban,2024-01-07,2024-02-02,Discover premium electronics curated for Gen Z - Urban. Click to explore.,Shop now,images/c0018.jpg,60831,1256,27,45039,316.94,5400,USD,0.020647367296279858,0.021496815286624203,0.02109121993720307,16.037925159336154,1
C0019,Brand_8,grocery,instagram,IN,Students,2023-03-12,2023-04-22,Discover premium grocery curated for Students. Click to explore.,Learn more,images/c0019.jpg,89286,623,18,62334,606.53,540,USD,0.00697757767175145,0.028892455858747994,0.007179177026633515,-0.10968954544705121,0
C0020,Brand_16,grocery,facebook,US,HNI / Affluent,2024-09-13,2024-10-17,Discover premium grocery curated for HNI / Affluent. Click to explore.,Learn more,images/c0020.jpg,33821,318,13,32005,185.11,390,USD,0.009402442269595813,0.040880503144654086,0.009786818840365454,1.1068553832856138,0
C0021,Brand_10,luxury,youtube,AE,HNI / Affluent,2024-04-07,2024-04-21,Discover premium luxury curated for HNI / Affluent. Click to explore.,Learn more,images/c0021.jpg,35826,163,1,27827,632.68,400,USD,0.0045497683246804,0.006134969325153374,0.004577681013788869,-0.36776885629386097,0
C0022,Brand_3,electronics,instagram,UK,HNI / Affluent,2023-08-24,2023-10-07,Discover premium electronics curated for HNI / Affluent. Click to explore.,Shop now,images/c0022.jpg,174886,2406,100,97903,863.19,20000,USD,0.013757533478952004,0.04156275976724855,0.014329334537927564,22.169869901180505,0
C0023,Brand_3,fashion,facebook,IN,Gen Z - Urban,2023-12-05,2023-12-16,Top-rated fashion loved by customers like you. Check it out.,Learn more,images/c0023.jpg,28663,361,10,24955,185.51,500,USD,0.012594634197397342,0.027700831024930747,0.01294351603112026,1.6952724920489464,0
C0024,Brand_9,luxury,facebook,UK,Millennial Professionals,2024-08-07,2024-09-19,Upgrade your luxury game with exclusive deals for UK.,Learn more,images/c0024.jpg,44184,319,9,33021,334.23,3600,USD,0.007219808075321383,0.02821316614420063,0.007423501720079667,9.771025940220806,0
C0025,Brand_16,luxury,facebook,IN,Gen Z - Urban,2024-11-05,2024-12-09,New arrivals in luxury just dropped. Don't miss out!,Get offer,images/c0025.jpg,37814,441,11,25120,228.47,4400,USD,0.011662347278785635,0.024943310657596373,0.011953244829957159,18.258545979778525,0
C0026,Brand_14,luxury,instagram,EU,Gen Z - Urban,2023-03-04,2023-04-05,New arrivals in luxury just dropped. Don't miss out!,Shop now,images/c0026.jpg,65752,840,19,47240,732.86,7600,USD,0.012775276797663949,0.02261904761904762,0.013064241391896825,9.370329940234152,0
C0027,Brand_8,beauty,facebook,UK,Students,2023-05-24,2023-06-27,Discover premium beauty curated for Students. Click to explore.,Sign up,images/c0027.jpg,17108,233,8,13032,141.88,320,USD,0.013619359364040216,0.034334763948497854,0.014086976852934299,1.2554271215111363,0
C0028,Brand_15,beauty,instagram,AE,HNI / Affluent,2023-04-11,2023-04-21,Top-rated beauty loved by customers like you. Check it out.,Shop now,images/c0028.jpg,145735,2564,101,91603,905.24,4040,USD,0.017593577383607232,0.03939157566302652,0.01828661611829691,3.462904865008175,0
C0029,Brand_3,beauty,facebook,AE,Students,2024-05-07,2024-05-27,Upgrade your beauty game with exclusive deals for AE.,Shop now,images/c0029.jpg,31302,206,8,19560,149.38,320,USD,0.006581049134240623,0.038834951456310676,0.006836623857900454,1.1421877091980186,0
C0030,Brand_6,luxury,instagram,AE,Families,2024-04-10,2024-05-05,Upgrade your luxury game with exclusive deals for AE.,Get offer,images/c0030.jpg,211511,2382,17,188176,1169.69,6800,USD,0.011261825626090368,0.007136859781696054,0.011342199696469686,4.813506142653181,0
C0031,Brand_5,beauty,youtube,SG,Gen Z - Urban,2024-08-16,2024-09-26,Limited time offer on our beauty collection. Shop now and save big!,Sign up,images/c0031.jpg,18922,137,6,14908,297.13,240,USD,0.007240249445090371,0.043795620437956206,0.007557340661663672,-0.192272742570592,0
C0032,Brand_2,fashion,google_ads,AE,HNI / Affluent,2024-06-27,2024-07-14,Limited time offer on our fashion collection. Shop now and save big!,Shop now,images/c0032.jpg,124156,2716,58,120681,1107.95,2900,USD,0.021875704758529593,0.021354933726067747,0.022342858983859015,1.6174466356785053,1
C0033,Brand_6,fashion,google_ads,IN,Millennial Professionals,2024-02-18,2024-03-03,Top-rated fashion loved by customers like you. Check it out.,Learn more,images/c0033.jpg,38195,848,21,26262,284.03,1050,USD,0.022201858882052623,0.024764150943396228,0.022751669066631758,2.6967925923317964,1
C0034,Brand_19,grocery,instagram,UK,Gen Z - Urban,2024-03-05,2024-04-18,Top-rated grocery loved by customers like you. Check it out.,Sign up,images/c0034.jpg,115315,1457,40,90596,865.37,1200,USD,0.012634956423708972,0.027453671928620454,0.012981832372197893,0.38669008632145785,0
C0035,Brand_9,beauty,youtube,SG,Families,2024-02-10,2024-02-25,New arrivals in beauty just dropped. Don't miss out!,Get offer,images/c0035.jpg,65003,362,16,47003,741.15,640,USD,0.005568973739673554,0.04419889502762431,0.0058151162254049815,-0.13647709640423664,0
C0036,Brand_11,fashion,instagram,AE,HNI / Affluent,2024-07-30,2024-08-12,Limited time offer on our fashion collection. Shop now and save big!,Learn more,images/c0036.jpg,99149,780,16,79852,520.16,800,USD,0.00786694772514095,0.020512820512820513,0.008028321011810507,0.5379883112888343,0
C0037,Brand_17,electronics,facebook,US,Gen Z - Urban,2023-09-08,2023-10-08,New arrivals in electronics just dropped. Don't miss out!,Learn more,images/c0037.jpg,132933,1677,57,93371,654.46,11400,USD,0.012615377671458554,0.03398926654740608,0.013044165105729954,16.418940806160805,0
C0038,Brand_15,grocery,youtube,UK,HNI / Affluent,2023-01-09,2023-02-20,New arrivals in grocery just dropped. Don't miss out!,Shop now,images/c0038.jpg,64767,456,21,49555,653.69,630,USD,0.007040622539256102,0.046052631578947366,0.0073648617351428965,-0.03624041977083947,0
C0039,Brand_5,electronics,instagram,IN,HNI / Affluent,2023-06-09,2023-07-03,New arrivals in electronics just dropped. Don't miss out!,Learn more,images/c0039.jpg,36188,376,0,25188,256.44,0,USD,0.010390184591577319,0.0,0.010390184591577319,-1.0,0
C0040,Brand_11,beauty,youtube,UK,Students,2023-09-15,2023-09-25,Limited time offer on our beauty collection. Shop now and save big!,Get offer,images/c0040.jpg,59765,489,11,48343,847.01,440,USD,0.008182046348197105,0.022494887525562373,0.008366100560528738,-0.4805256136291189,0
C0041,Brand_9,fashion,instagram,US,Millennial Professionals,2024-10-14,2024-11-06,Discover premium fashion curated for Millennial Professionals. Click to explore.,Get offer,images/c0041.jpg,47552,833,36,44646,270.98,1800,USD,0.017517664872139974,0.04321728691476591,0.01827473082099596,5.642556646246955,0
C0042,Brand_18,luxury,google_ads,IN,Gen Z - Urban,2023-03-19,2023-04-04,Top-rated luxury loved by customers like you. Check it out.,Shop now,images/c0042.jpg,79498,1432,33,57130,1341.85,13200,USD,0.01801303177438426,0.023044692737430168,0.018428136556894514,8.837165107873458,0
C0043,Brand_12,grocery,google_ads,SG,Students,2023-05-11,2023-05-20,New arrivals in grocery just dropped. Don't miss out!,Sign up,images/c0043.jpg,43985,1098,40,27394,377.37,1200,USD,0.024963055587131976,0.03642987249544627,0.025872456519267933,2.1799030129581047,1
C0044,Brand_2,electronics,facebook,EU,Millennial Professionals,2024-11-13,2024-11-26,New arrivals in electronics just dropped. Don't miss out!,Get offer,images/c0044.jpg,90300,561,16,66866,348.05,3200,USD,0.006212624584717608,0.0285204991087344,0.006389811738648948,8.194081310156585,0
C0045,Brand_20,beauty,facebook,SG,Millennial Professionals,2024-02-27,2024-03-06,Discover premium beauty curated for Millennial Professionals. Click to explore.,Sign up,images/c0045.jpg,377978,2328,75,236964,1669.07,3000,USD,0.006159088624205641,0.03221649484536082,0.006357512871119483,0.7974081374657744,0
C0046,Brand_14,beauty,youtube,SG,Gen Z - Urban,2024-01-27,2024-02-05,Upgrade your beauty game with exclusive deals for SG.,Learn more,images/c0046.jpg,106075,768,17,63386,2121.51,680,USD,0.007240160263964176,0.022135416666666668,0.007400424228140467,-0.6794735824954867,0
C0047,Brand_7,luxury,youtube,US,Millennial Professionals,2023-08-17,2023-08-25,Discover premium luxury curated for Millennial Professionals. Click to explore.,Get offer,images/c0047.jpg,95957,633,9,65937,1866.99,3600,USD,0.0065967047740133605,0.014218009478672985,0.00669049678501829,0.9282374303022513,0
C0048,Brand_11,electronics,instagram,US,Families,2024-10-18,2024-11-26,Upgrade your electronics game with exclusive deals for US.,Sign up,images/c0048.jpg,234547,2954,41,175021,2072.09,8200,USD,0.012594490656456915,0.013879485443466486,0.012769295706191083,2.957357064606267,0
C0049,Brand_1,fashion,youtube,SG,HNI / Affluent,2023-09-29,2023-10-08,Limited time offer on our fashion collection. Shop now and save big!,Get offer,images/c0049.jpg,49577,587,13,25297,685.78,650,USD,0.011840167819755129,0.022146507666098807,0.012102386187143231,-0.0521741666423634,0
C0050,Brand_12,electronics,tiktok,UK,HNI / Affluent,2023-04-29,2023-05-30,Top-rated electronics loved by customers like you. Check it out.,Learn more,images/c0050.jpg,283917,4498,61,215445,1475.58,12200,USD,0.015842658241669222,0.013561582925744775,0.016057509765177853,7.2679353203486095,0
C0051,Brand_9,fashion,tiktok,IN,HNI / Affluent,2024-07-05,2024-07-24,New arrivals in fashion just dropped. Don't miss out!,Get offer,images/c0051.jpg,59429,828,32,37902,338.92,1600,USD,0.013932591832270441,0.03864734299516908,0.014471049487623887,3.720878083323498,0
C0052,Brand_3,electronics,google_ads,US,Gen Z - Urban,2023-11-04,2023-12-13,New arrivals in electronics just dropped. Don't miss out!,Get offer,images/c0052.jpg,281538,4930,70,214803,1949.91,14000,USD,0.017510957668236616,0.014198782961460446,0.017759591955615227,6.179818555728213,0
C0053,Brand_11,luxury,youtube,UK,Millennial Professionals,2023-07-16,2023-08-18,Upgrade your luxury game with exclusive deals for UK.,Learn more,images/c0053.jpg,101752,441,3,53036,1103.52,1200,USD,0.0043340671436433685,0.006802721088435374,0.0043635505936001255,0.08742931709438888,0
C0054,Brand_20,grocery,youtube,AE,HNI / Affluent,2023-01-01,2023-01-27,New arrivals in grocery just dropped. Don't miss out!,Learn more,images/c0054.jpg,108029,1131,54,87490,1428.09,1620,USD,0.010469410991493025,0.04774535809018567,0.010969276768275185,0.134382286830662,0
C0055,Brand_14,grocery,google_ads,EU,Families,2024-04-21,2024-05-26,Upgrade your grocery game with exclusive deals for EU.,Learn more,images/c0055.jpg,216263,4879,181,146210,1792.78,5430,USD,0.02256049347322473,0.03709776593564255,0.023397437379487015,2.0288155825031517,1
C0056,Brand_17,luxury,facebook,EU,Gen Z - Urban,2023-10-18,2023-11-26,Top-rated luxury loved by customers like you. Check it out.,Sign up,images/c0056.jpg,49472,373,13,37574,268.34,5200,USD,0.007539618369987063,0.03485254691689008,0.007802393272962484,18.378400536632633,0
C0057,Brand_3,beauty,youtube,SG,Millennial Professionals,2023-05-31,2023-06-08,Limited time offer on our beauty collection. Shop now and save big!,Learn more,images/c0057.jpg,14690,146,4,11415,263.66,160,USD,0.009938733832539142,0.0273972602739726,0.010211027910142955,-0.3931578548130168,0
C0058,Brand_16,grocery,instagram,AE,Students,2024-10-06,2024-11-18,Discover premium grocery curated for Students. Click to explore.,Get offer,images/c0058.jpg,92647,882,32,63490,496.59,960,USD,0.009520006044448283,0.036281179138321996,0.009865403089144818,0.933184317042228,0
C0059,Brand_16,luxury,facebook,SG,Gen Z - Urban,2023-04-20,2023-05-24,Discover premium luxury curated for Gen Z - Urban. Click to explore.,Learn more,images/c0059.jpg,94298,1000,20,61922,609.83,8000,USD,0.010604678784279625,0.02,0.010816772359965216,12.118410048702097,0
C0060,Brand_17,luxury,instagram,UK,Millennial Professionals,2023-05-05,2023-06-10,Discover premium luxury curated for Millennial Professionals. Click to explore.,Get offer,images/c0060.jpg,88020,866,11,49225,919.78,4400,USD,0.009838673028857077,0.012702078521939953,0.009963644626221313,3.783752636500033,0
C0061,Brand_17,grocery,google_ads,US,Students,2024-09-19,2024-10-28,Upgrade your grocery game with exclusive deals for US.,Get offer,images/c0061.jpg,155309,3104,102,104020,945.51,3060,USD,0.019985963466379927,0.03286082474226804,0.02064271870915401,2.2363486372433923,1
C0062,Brand_6,luxury,tiktok,US,Millennial Professionals,2024-10-14,2024-11-07,Top-rated luxury loved by customers like you. Check it out.,Get offer,images/c0062.jpg,83266,1378,41,51398,385.25,16400,USD,0.01654937189248913,0.029753265602322207,0.017041769749957966,41.56975989617132,0
C0063,Brand_8,electronics,tiktok,IN,Families,2023-08-29,2023-09-22,New arrivals in electronics just dropped. Don't miss out!,Sign up,images/c0063.jpg,80824,1323,27,53802,367.24,5400,USD,0.01636890032663565,0.02040816326530612,0.016702959516975157,13.704280579457576,0
C0064,Brand_18,fashion,facebook,SG,Millennial Professionals,2024-01-28,2024-02-13,Discover premium fashion curated for Millennial Professionals. Click to explore.,Shop now,images/c0064.jpg,163603,1648,57,101875,887.24,2850,USD,0.010073164917513738,0.0345873786407767,0.010421569286626773,2.2122086470402595,0
C0065,Brand_14,luxury,youtube,UK,Students,2024-03-01,2024-03-11,Discover premium luxury curated for Students. Click to explore.,Get offer,images/c0065.jpg,167482,2252,31,137342,1688.58,12400,USD,0.013446221086445111,0.013765541740674956,0.013631315604064914,6.343448341209775,0
C0066,Brand_13,grocery,instagram,UK,Students,2024-05-03,2024-05-10,New arrivals in grocery just dropped. Don't miss out!,Sign up,images/c0066.jpg,116312,654,22,74446,981.45,660,USD,0.005622807620881767,0.03363914373088685,0.005811954054611734,-0.32752559987773194,0
C0067,Brand_13,luxury,google_ads,EU,HNI / Affluent,2024-09-09,2024-09-30,Upgrade your luxury game with exclusive deals for EU.,Learn more,images/c0067.jpg,48532,1023,21,24689,389.78,8400,USD,0.021078875793291024,0.020527859237536656,0.021511579988461222,20.550618297501156,1
C0068,Brand_9,luxury,tiktok,IN,Students,2023-12-11,2024-01-12,Discover premium luxury curated for Students. Click to explore.,Get offer,images/c0068.jpg,104826,1943,20,92576,782.35,8000,USD,0.018535477839467306,0.010293360782295419,0.018726270200141188,9.22560235188854,0
C0069,Brand_5,grocery,google_ads,IN,Students,2024-08-29,2024-10-11,Limited time offer on our grocery collection. Shop now and save big!,Shop now,images/c0069.jpg,214886,3269,111,177019,1843.51,3330,USD,0.015212717440875627,0.033955338023860505,0.015729270403842036,0.8063368248612701,0
C0070,Brand_14,beauty,tiktok,SG,Gen Z - Urban,2023-09-24,2023-10-25,New arrivals in beauty just dropped. Don't miss out!,Learn more,images/c0070.jpg,81268,829,17,54343,401.63,680,USD,0.010200817049761283,0.020506634499396863,0.010410001476595954,0.6931006149938999,0
C0071,Brand_15,electronics,youtube,AE,Families,2024-03-07,2024-03-30,Limited time offer on our electronics collection. Shop now and save big!,Get offer,images/c0071.jpg,47930,431,5,39674,958.61,1000,USD,0.008992280408929689,0.01160092807424594,0.009096599207177133,0.04317710017629692,0
C0072,Brand_1,grocery,instagram,US,Millennial Professionals,2024-10-27,2024-11-07,Limited time offer on our grocery collection. Shop now and save big!,Shop now,images/c0072.jpg,211981,3277,164,151989,1373.49,4920,USD,0.015458932640189452,0.050045773573390295,0.016232586882786663,2.5821156324399888,0
C0073,Brand_8,beauty,instagram,UK,Millennial Professionals,2023-09-02,2023-09-17,Upgrade your beauty game with exclusive deals for UK.,Shop now,images/c0073.jpg,98793,899,37,82676,567.12,1480,USD,0.009099835008553237,0.041156840934371525,0.009474355470529288,1.6096769643109041,0
C0074,Brand_19,beauty,tiktok,EU,Families,2024-01-13,2024-01-30,Top-rated beauty loved by customers like you. Check it out.,Shop now,images/c0074.jpg,92533,1349,49,72972,825.73,1960,USD,0.014578582775874553,0.0363232023721275,0.015108123588341456,1.3736572487374807,0
C0075,Brand_6,electronics,instagram,UK,Gen Z - Urban,2023-11-16,2023-12-29,Upgrade your electronics game with exclusive deals for UK.,Get offer,images/c0075.jpg,10553,72,1,5930,50.0,200,USD,0.006822704444233867,0.013888888888888888,0.0069174642281815595,3.0,0
C0076,Brand_7,fashion,google_ads,EU,Millennial Professionals,2023-04-15,2023-05-11,Top-rated fashion loved by customers like you. Check it out.,Shop now,images/c0076.jpg,118540,1858,53,96286,995.98,2650,USD,0.01567403408132276,0.02852529601722282,0.01612114054327653,1.6606959979116045,0
C0077,Brand_19,fashion,youtube,UK,Students,2024-11-08,2024-12-08,Limited time offer on our fashion collection. Shop now and save big!,Sign up,images/c0077.jpg,53518,345,6,32432,612.82,300,USD,0.006446429238760791,0.017391304347826087,0.006558541051608804,-0.5104598413889887,0
C0078,Brand_1,luxury,tiktok,IN,Students,2024-01-06,2024-02-11,Discover premium luxury curated for Students. Click to explore.,Get offer,images/c0078.jpg,94368,1280,8,61842,380.89,3200,USD,0.01356391997287216,0.00625,0.01364869447270261,7.401375725275014,0
C0079,Brand_6,grocery,youtube,UK,HNI / Affluent,2024-05-10,2024-06-15,Upgrade your grocery game with exclusive deals for UK.,Sign up,images/c0079.jpg,31705,200,5,18911,407.21,150,USD,0.006308153288124901,0.025,0.006465857120328024,-0.6316396945065199,0
C0080,Brand_11,beauty,instagram,US,Students,2023-09-07,2023-10-13,Top-rated beauty loved by customers like you. Check it out.,Get offer,images/c0080.jpg,259097,4045,176,194700,1712.22,7040,USD,0.01561191368483618,0.04351050679851669,0.016291195961358102,3.1116211701767296,0
C0081,Brand_11,fashion,tiktok,US,Millennial Professionals,2024-05-14,2024-06-03,New arrivals in fashion just dropped. Don't miss out!,Sign up,images/c0081.jpg,41101,582,4,26404,236.93,200,USD,0.014160239410233328,0.006872852233676976,0.01425756064329335,-0.15586882201494115,0
C0082,Brand_11,electronics,google_ads,EU,Families,2024-07-23,2024-07-30,Top-rated electronics loved by customers like you. Check it out.,Learn more,images/c0082.jpg,27244,464,9,21390,169.22,1800,USD,0.017031272940831007,0.01939655172413793,0.017361620907355747,9.637040538943387,0
C0083,Brand_3,beauty,tiktok,AE,HNI / Affluent,2023-09-04,2023-10-11,Upgrade your beauty game with exclusive deals for AE.,Get offer,images/c0083.jpg,151288,1540,57,91445,781.43,2280,USD,0.010179260747712972,0.03701298701298701,0.01055602559356988,1.9177277555251273,0
C0084,Brand_1,fashion,youtube,SG,Students,2024-12-09,2024-12-31,New arrivals in fashion just dropped. Don't miss out!,Sign up,images/c0084.jpg,17462,105,2,10370,338.71,100,USD,0.006013056923605544,0.01904761904761905,0.00612759134119803,-0.7047621859407753,0
C0085,Brand_16,grocery,google_ads,US,Students,2024-07-17,2024-08-14,New arrivals in grocery just dropped. Don't miss out!,Get offer,images/c0085.jpg,96245,1922,105,75856,564.11,3150,USD,0.019969868564600757,0.05463059313215401,0.021060834329056054,4.584017301590115,1
C0086,Brand_9,electronics,youtube,SG,Gen Z - Urban,2023-07-17,2023-08-13,Limited time offer on our electronics collection. Shop now and save big!,Learn more,images/c0086.jpg,43297,551,8,28400,689.74,1600,USD,0.012726054922973878,0.014519056261343012,0.012910825230385477,1.3197146750949633,0
C0087,Brand_7,beauty,tiktok,US,HNI / Affluent,2024-06-21,2024-08-05,New arrivals in beauty just dropped. Don't miss out!,Shop now,images/c0087.jpg,55810,602,24,49723,226.59,960,USD,0.010786597383981366,0.03986710963455149,0.011216627844472317,3.2367271282933934,0
C0088,Brand_7,electronics,facebook,US,Millennial Professionals,2023-11-06,2023-11-13,Top-rated electronics loved by customers like you. Check it out.,Learn more,images/c0088.jpg,40969,342,0,25283,259.17,0,USD,0.008347775147062413,0.0,0.008347775147062413,-1.0,0
C0089,Brand_9,fashion,instagram,UK,Families,2024-12-15,2024-12-30,Upgrade your fashion game with exclusive deals for UK.,Shop now,images/c0089.jpg,114918,1180,44,70013,814.8,2200,USD,0.010268191232008912,0.03728813559322034,0.010651072938965176,1.7000490918016693,0
C0090,Brand_1,grocery,youtube,AE,Students,2024-03-27,2024-04-24,Discover premium grocery curated for Students. Click to explore.,Shop now,images/c0090.jpg,56594,727,35,51179,936.23,1050,USD,0.01284588472276213,0.048143053645116916,0.013464324840089055,0.12151928479113036,0
C0091,Brand_9,luxury,instagram,IN,Students,2024-05-18,2024-05-29,Top-rated luxury loved by customers like you. Check it out.,Shop now,images/c0091.jpg,31461,223,3,16344,259.2,1200,USD,0.007088140872826674,0.013452914798206279,0.007183497028066495,3.6296296296296298,0
C0092,Brand_5,beauty,google_ads,US,Gen Z - Urban,2023-09-12,2023-09-26,Top-rated beauty loved by customers like you. Check it out.,Get offer,images/c0092.jpg,84626,1760,110,49598,911.23,4400,USD,0.020797390872781416,0.0625,0.02209722780233025,3.8286382142817947,1
C0093,Brand_20,grocery,google_ads,SG,HNI / Affluent,2024-01-25,2024-02-29,Upgrade your grocery game with exclusive deals for SG.,Sign up,images/c0093.jpg,14072,323,11,9309,149.41,330,USD,0.022953382603752133,0.034055727554179564,0.02373507674815236,1.2086875041831204,1
C0094,Brand_19,luxury,youtube,UK,HNI / Affluent,2023-03-03,2023-03-16,Discover premium luxury curated for HNI / Affluent. Click to explore.,Learn more,images/c0094.jpg,67054,1026,2,42087,1168.08,800,USD,0.015301100605482149,0.001949317738791423,0.015330927312315447,-0.31511540305458524,0
C0095,Brand_9,fashion,facebook,SG,Millennial Professionals,2024-07-19,2024-07-30,Discover premium fashion curated for Millennial Professionals. Click to explore.,Shop now,images/c0095.jpg,34914,358,10,22331,177.5,500,USD,0.010253766397433695,0.027932960893854747,0.010540184453227932,1.8169014084507042,0
C0096,Brand_14,luxury,google_ads,AE,Families,2023-02-03,2023-02-24,New arrivals in luxury just dropped. Don't miss out!,Sign up,images/c0096.jpg,211045,4593,54,135184,1653.54,21600,USD,0.021763131085787393,0.011757021554539516,0.022019000687057262,12.062883268623679,1
C0097,Brand_15,fashion,facebook,US,HNI / Affluent,2024-11-08,2024-11-27,Upgrade your fashion game with exclusive deals for US.,Shop now,images/c0097.jpg,67119,846,22,60913,347.7,1100,USD,0.012604478612613417,0.026004728132387706,0.012932254652184925,2.163646821972965,0
C0098,Brand_18,beauty,facebook,US,Millennial Professionals,2023-03-15,2023-03-25,Discover premium beauty curated for Millennial Professionals. Click to explore.,Sign up,images/c0098.jpg,163575,541,24,103438,1011.99,960,USD,0.0033073513678740637,0.04436229205175601,0.003454073055173468,-0.05137402543503395,0
C0099,Brand_20,grocery,youtube,AE,Gen Z - Urban,2024-04-24,2024-05-20,Upgrade your grocery game with exclusive deals for AE.,Sign up,images/c0099.jpg,26919,282,5,18253,311.07,150,USD,0.010475872060626324,0.01773049645390071,0.010661614473048775,-0.5177934227022857,0
C0100,Brand_17,grocery,tiktok,AE,Gen Z - Urban,2024-09-04,2024-09-13,Upgrade your grocery game with exclusive deals for AE.,Sign up,images/c0100.jpg,113912,1903,59,81620,477.53,1770,USD,0.016705878221785236,0.031003678402522335,0.017223821897605168,2.706573409000482,0
